|Id|4.x result|5.x result|4.x vs 5.x|5.x fix result|4.x vs 5.x fix|
|*38634|passed|Passed|✅|Passed|✅|
|*38635|passed|Passed|✅|Passed|✅|
|*38636|passed|Passed|✅|Passed|✅|
|*38637|passed|Passed|✅|Passed|✅|
|*38638|passed|Passed|✅|Passed|✅|
|*38639|passed|Passed|✅|Passed|✅|
|*38640|passed|Passed|✅|Passed|✅|
|*38641|failed|Failed|✅|Failed|✅|
|38642|passed|Passed|✅|Passed|✅|
|*38643|failed|Failed|✅|Failed|✅|
|*38644|failed|Failed|✅|Failed|✅|
|*38645|failed|Failed|✅|Failed|✅|
|*38646|passed|Passed|✅|Passed|✅|
|*38647|failed|Failed|✅|Failed|✅|
|38648|failed|Failed|✅|Failed|✅|
|38649|passed|Passed|✅|Passed|✅|
|*38650|not applicable|Not applicable|✅|Not applicable|✅|
|*38651|not applicable|Not applicable|✅|Not applicable|✅|
|*38652|not applicable|Not applicable|✅|Not applicable|✅|
|*38653|not applicable|Not applicable|✅|Not applicable|✅|
|*38654|not applicable|Not applicable|✅|||
|*38655|failed|Failed|✅|Failed|✅|
|*38656|failed|Failed|✅|Failed|✅|
|*38657|failed|Failed|✅|Failed|✅|
|*38658|failed|Failed|✅|Failed|✅|
|38659|failed|Failed|✅|Failed|✅|
|*38660|failed|||||
|*38661|not applicable|Failed|🔴|Failed|🔴|
|*38662|failed|Failed|✅|Failed|✅|
|*38663|failed|Failed|✅|Failed|✅|
|*38664|failed|Failed|✅|Failed|✅|
|*38665|failed|Failed|✅|Failed|✅|
|38666|passed|Passed|✅|Passed|✅|
|38667|failed|Failed|✅|Failed|✅|
|38668|passed|Passed|✅|Passed|✅|
|38669|passed|Passed|✅|Passed|✅|
|38670|passed|Passed|✅|Passed|✅|
|38671|passed|Passed|✅|Passed|✅|
|38672|passed|Passed|✅|Passed|✅|
|38673|failed|Failed|✅|Failed|✅|
|38674|failed|Failed|✅|Failed|✅|
|38675|failed|Failed|✅|Failed|✅|
|*38676|passed|Passed|✅|Passed|✅|
|*38677|passed|Not run|🔴|Passed|✅|
|*38678|passed|Passed|✅|Passed|✅|

Good fix | 1
Bad fix | 0
Non-fix bad | 0
Non-fix good | 119

Missmatch_after_fix: 38526, 38615, 38661
