|Id|4.x result|5.x result|4.x vs 5.x|5.x fix result|4.x vs 5.x fix|
|*31131|failed|Failed|✅|Failed|✅|
|*31132|failed|Failed|✅|Failed|✅|
|*31133|failed|Failed|✅|Failed|✅|
|*31134|failed|Failed|✅|Failed|✅|
|*31135|failed|Failed|✅|Failed|✅|
|*31136|not applicable|Not applicable|✅|Not applicable|✅|
|31137|not applicable|Not applicable|✅|Not applicable|✅|
|31138|not applicable|Not applicable|✅|Not applicable|✅|
|31139|not applicable|Not applicable|✅|Not applicable|✅|
|31140|not applicable|Not applicable|✅|Not applicable|✅|
|31141|not applicable|Not applicable|✅|Not applicable|✅|
|31142|not applicable|Not applicable|✅|Not applicable|✅|
|31143|not applicable|Not applicable|✅|Not applicable|✅|
|31144|not applicable|Not applicable|✅|Not applicable|✅|
|31145|not applicable|Not applicable|✅|Not applicable|✅|
|31146|not applicable|Not applicable|✅|Not applicable|✅|
|31147|not applicable|Not applicable|✅|Not applicable|✅|
|31148|not applicable|Not applicable|✅|Not applicable|✅|
|31149|not applicable|Not applicable|✅|Not applicable|✅|
|31150|not applicable|Not applicable|✅|Not applicable|✅|
|31151|not applicable|Not applicable|✅|Not applicable|✅|
|31152|not applicable|Not applicable|✅|Not applicable|✅|
|*31153|passed|Passed|✅|Passed|✅|
|*31154|not applicable|Not applicable|✅|Not applicable|✅|
|*31155|not applicable|Not applicable|✅|Not applicable|✅|
|*31156|not applicable|Not applicable|✅|Not applicable|✅|
|*31157|not applicable|Not applicable|✅|Not applicable|✅|
|*31158|not applicable|Not applicable|✅|Not applicable|✅|
|*31159|not applicable|Not applicable|✅|Not applicable|✅|
|*31160|not applicable|Not applicable|✅|Not applicable|✅|
|*31161|not applicable|Not applicable|✅|Not applicable|✅|
|31162|not applicable|Not applicable|✅|Not applicable|✅|
|*31163|not applicable|||||
|*31164|failed|Failed|✅|Failed|✅|
|*31165|failed|Failed|✅|Failed|✅|
|*31166|failed|Failed|✅|Failed|✅|
|*31167|passed|Passed|✅|Passed|✅|
|*31168|failed|Failed|✅|Failed|✅|
|*31169|passed|Passed|✅|Passed|✅|
|31170|not applicable|Not applicable|✅|Not applicable|✅|
|31171|passed|Passed|✅|Passed|✅|
|31172|passed|Passed|✅|Passed|✅|
|31173|passed|Passed|✅|Passed|✅|
|31174|passed|Passed|✅|Passed|✅|
|31175|passed|Passed|✅|Passed|✅|
|*31176|passed|Passed|✅|Passed|✅|
|*31177|passed|Passed|✅|Passed|✅|
|*31178|passed|Passed|✅|Passed|✅|
|*31179|passed|Passed|✅|Passed|✅|
|31180|not applicable|Not applicable|✅|Not applicable|✅|
|*31181|failed|Failed|✅|Failed|✅|
|*31182|passed|Passed|✅|Passed|✅|
|*31183|passed|Passed|✅|Passed|✅|

Good fix | 0
Bad fix | 0
Non-fix bad | 1
Non-fix good | 122

Missmatch_after_fix: 31082
