full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/ossec/active-response/bin/default-firewall-drop,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/disable-account,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/firewall-drop,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/firewalld-drop,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/host-deny,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/ip-customblock,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/ipfw,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/kaspersky,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/kaspersky.py,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/npf,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/pf,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/restart-wazuh,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/restart.sh,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/route-null,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/wazuh-slack,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/api/configuration/api.yaml,root,wazuh,660,file,-rw-rw----,,
/var/ossec/api/scripts/wazuh_manager_apid.py,root,wazuh,640,file,-rw-r-----,,
/var/ossec/bin/agent_groups,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/bin/agent_upgrade,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/bin/cluster_control,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/bin/rbac_control,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/bin/verify-agent-conf,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/bin/wazuh-control,root,root,750,file,-rwxr-x---,,
/var/ossec/bin/wazuh-keystore,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/bin/wazuh-manager-analysisd,root,root,750,file,-rwxr-x---,,
/var/ossec/bin/wazuh-manager-apid,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/bin/wazuh-manager-authd,root,root,750,file,-rwxr-x---,,
