full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/ossec/active-response/bin/default-firewall-drop,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/disable-account,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/firewall-drop,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/firewalld-drop,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/host-deny,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/ip-customblock,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/ipfw,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/kaspersky,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/kaspersky.py,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/npf,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/pf,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/restart-wazuh,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/restart.sh,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/route-null,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/active-response/bin/wazuh-slack,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/main.exp,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/register_host.sh,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/ssh.exp,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/ssh_asa-fwsmconfig_diff,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/ssh_foundry_diff,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/ssh_generic_diff,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/ssh_integrity_check_bsd,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/ssh_integrity_check_linux,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/ssh_nopass.exp,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/ssh_pixconfig_diff,root,wazuh,750,file,-rwxr-x---,,
/var/ossec/agentless/sshlogin.exp,root,wazuh,750,file,-rwxr-x---,,
