full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/ossec/framework/python/include/python3.10/codecs.h,root,wazuh,640,file,-rw-r-----,7071,0.2
/var/ossec/framework/python/include/python3.10/bltinmodule.h,root,wazuh,640,file,-rw-r-----,264,0.2
/var/ossec/framework/python/include/python3.10/osdefs.h,root,wazuh,640,file,-rw-r-----,737,0.2
/var/ossec/framework/python/include/python3.10/pycapsule.h,root,wazuh,640,file,-rw-r-----,1725,0.2
/var/ossec/framework/python/include/python3.10/iterobject.h,root,wazuh,640,file,-rw-r-----,593,0.2
/var/ossec/framework/python/include/python3.10/errcode.h,root,wazuh,640,file,-rw-r-----,1700,0.2
/var/ossec/framework/python/include/python3.10/patchlevel.h,root,wazuh,640,file,-rw-r-----,1301,0.2
/var/ossec/framework/python/include/python3.10/pyexpat.h,root,wazuh,640,file,-rw-r-----,2572,0.2
/var/ossec/framework/python/include/python3.10/structseq.h,root,wazuh,640,file,-rw-r-----,1390,0.2
/var/ossec/framework/python/include/python3.10/objimpl.h,root,wazuh,640,file,-rw-r-----,8445,0.2
/var/ossec/framework/python/include/python3.10/osmodule.h,root,wazuh,640,file,-rw-r-----,291,0.2
/var/ossec/framework/python/include/python3.10/pyerrors.h,root,wazuh,640,file,-rw-r-----,12426,0.2
/var/ossec/framework/python/include/python3.10/pymem.h,root,wazuh,640,file,-rw-r-----,3891,0.2
/var/ossec/framework/python/include/python3.10/tracemalloc.h,root,wazuh,640,file,-rw-r-----,1114,0.2
/var/ossec/framework/python/include/python3.10/fileutils.h,root,wazuh,640,file,-rw-r-----,508,0.2
/var/ossec/framework/python/include/python3.10/pythonrun.h,root,wazuh,640,file,-rw-r-----,1110,0.2
/var/ossec/framework/python/include/python3.10/modsupport.h,root,wazuh,640,file,-rw-r-----,10333,0.2
/var/ossec/framework/python/include/python3.10/dictobject.h,root,wazuh,640,file,-rw-r-----,3853,0.2
/var/ossec/framework/python/include/python3.10/tupleobject.h,root,wazuh,640,file,-rw-r-----,1614,0.2
/var/ossec/framework/python/include/python3.10/bytearrayobject.h,root,wazuh,640,file,-rw-r-----,1484,0.2
/var/ossec/framework/python/include/python3.10/structmember.h,root,wazuh,640,file,-rw-r-----,2074,0.2
/var/ossec/framework/python/include/python3.10/unicodeobject.h,root,wazuh,640,file,-rw-r-----,36148,0.2
/var/ossec/framework/python/include/python3.10/pylifecycle.h,root,wazuh,640,file,-rw-r-----,2080,0.2
/var/ossec/framework/python/include/python3.10/datetime.h,root,wazuh,640,file,-rw-r-----,9635,0.2
/var/ossec/framework/python/include/python3.10/setobject.h,root,wazuh,640,file,-rw-r-----,3381,0.2
/var/ossec/framework/python/include/python3.10/fileobject.h,root,wazuh,640,file,-rw-r-----,1571,0.2
/var/ossec/framework/python/include/python3.10/namespaceobject.h,root,wazuh,640,file,-rw-r-----,349,0.2
/var/ossec/framework/python/include/python3.10/longobject.h,root,wazuh,640,file,-rw-r-----,8606,0.2
/var/ossec/framework/python/include/python3.10/cpython/code.h,root,wazuh,640,file,-rw-r-----,7570,0.2
/var/ossec/framework/python/include/python3.10/cpython/abstract.h,root,wazuh,640,file,-rw-r-----,14054,0.2
/var/ossec/framework/python/include/python3.10/cpython/pystate.h,root,wazuh,640,file,-rw-r-----,11914,0.2
/var/ossec/framework/python/include/python3.10/cpython/import.h,root,wazuh,640,file,-rw-r-----,1630,0.2
/var/ossec/framework/python/include/python3.10/cpython/pyfpe.h,root,wazuh,640,file,-rw-r-----,444,0.2
/var/ossec/framework/python/include/python3.10/cpython/interpreteridobject.h,root,wazuh,640,file,-rw-r-----,387,0.2
/var/ossec/framework/python/include/python3.10/cpython/traceback.h,root,wazuh,640,file,-rw-r-----,404,0.2
/var/ossec/framework/python/include/python3.10/cpython/bytesobject.h,root,wazuh,640,file,-rw-r-----,4119,0.2
/var/ossec/framework/python/include/python3.10/cpython/pyctype.h,root,wazuh,640,file,-rw-r-----,1387,0.2
/var/ossec/framework/python/include/python3.10/cpython/pytime.h,root,wazuh,640,file,-rw-r-----,9196,0.2
/var/ossec/framework/python/include/python3.10/cpython/picklebufobject.h,root,wazuh,640,file,-rw-r-----,846,0.2
/var/ossec/framework/python/include/python3.10/cpython/object.h,root,wazuh,640,file,-rw-r-----,19613,0.2
/var/ossec/framework/python/include/python3.10/cpython/frameobject.h,root,wazuh,640,file,-rw-r-----,3152,0.2
/var/ossec/framework/python/include/python3.10/cpython/odictobject.h,root,wazuh,640,file,-rw-r-----,1299,0.2
/var/ossec/framework/python/include/python3.10/cpython/ceval.h,root,wazuh,640,file,-rw-r-----,1468,0.2
/var/ossec/framework/python/include/python3.10/cpython/listobject.h,root,wazuh,640,file,-rw-r-----,1243,0.2
/var/ossec/framework/python/include/python3.10/cpython/compile.h,root,wazuh,640,file,-rw-r-----,2218,0.2
/var/ossec/framework/python/include/python3.10/cpython/methodobject.h,root,wazuh,640,file,-rw-r-----,1399,0.2
/var/ossec/framework/python/include/python3.10/cpython/sysmodule.h,root,wazuh,640,file,-rw-r-----,506,0.2
/var/ossec/framework/python/include/python3.10/cpython/initconfig.h,root,wazuh,640,file,-rw-r-----,7597,0.2
/var/ossec/framework/python/include/python3.10/cpython/objimpl.h,root,wazuh,640,file,-rw-r-----,3356,0.2
/var/ossec/framework/python/include/python3.10/cpython/pyerrors.h,root,wazuh,640,file,-rw-r-----,5476,0.2
/var/ossec/framework/python/include/python3.10/cpython/pymem.h,root,wazuh,640,file,-rw-r-----,3379,0.2
/var/ossec/framework/python/include/python3.10/cpython/fileutils.h,root,wazuh,640,file,-rw-r-----,4267,0.2
/var/ossec/framework/python/include/python3.10/cpython/pythonrun.h,root,wazuh,640,file,-rw-r-----,4811,0.2
/var/ossec/framework/python/include/python3.10/cpython/dictobject.h,root,wazuh,640,file,-rw-r-----,3734,0.2
/var/ossec/framework/python/include/python3.10/cpython/tupleobject.h,root,wazuh,640,file,-rw-r-----,975,0.2
/var/ossec/framework/python/include/python3.10/cpython/bytearrayobject.h,root,wazuh,640,file,-rw-r-----,769,0.2
/var/ossec/framework/python/include/python3.10/cpython/pydebug.h,root,wazuh,640,file,-rw-r-----,1093,0.2
/var/ossec/framework/python/include/python3.10/cpython/unicodeobject.h,root,wazuh,640,file,-rw-r-----,44284,0.2
/var/ossec/framework/python/include/python3.10/cpython/pylifecycle.h,root,wazuh,640,file,-rw-r-----,2095,0.2
/var/ossec/framework/python/include/python3.10/cpython/fileobject.h,root,wazuh,640,file,-rw-r-----,723,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_atomic_funcs.h,root,wazuh,640,file,-rw-r-----,2438,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_code.h,root,wazuh,640,file,-rw-r-----,696,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_pyerrors.h,root,wazuh,640,file,-rw-r-----,2314,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_bitutils.h,root,wazuh,640,file,-rw-r-----,5271,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_gc.h,root,wazuh,640,file,-rw-r-----,6859,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_pyarena.h,root,wazuh,640,file,-rw-r-----,2733,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_pathconfig.h,root,wazuh,640,file,-rw-r-----,1981,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_ast.h,root,wazuh,640,file,-rw-r-----,28828,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_bytes_methods.h,root,wazuh,640,file,-rw-r-----,3384,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_structseq.h,root,wazuh,640,file,-rw-r-----,386,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_pymem.h,root,wazuh,640,file,-rw-r-----,3211,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_symtable.h,root,wazuh,640,file,-rw-r-----,5578,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_sysmodule.h,root,wazuh,640,file,-rw-r-----,548,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_tuple.h,root,wazuh,640,file,-rw-r-----,425,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_hashtable.h,root,wazuh,640,file,-rw-r-----,4197,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_list.h,root,wazuh,640,file,-rw-r-----,350,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_blocks_output_buffer.h,root,wazuh,640,file,-rw-r-----,8688,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_import.h,root,wazuh,640,file,-rw-r-----,346,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_pylifecycle.h,root,wazuh,640,file,-rw-r-----,4940,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_gil.h,root,wazuh,640,file,-rw-r-----,1565,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_condvar.h,root,wazuh,640,file,-rw-r-----,2809,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_atomic.h,root,wazuh,640,file,-rw-r-----,16979,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_runtime.h,root,wazuh,640,file,-rw-r-----,4902,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_compile.h,root,wazuh,640,file,-rw-r-----,1045,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_ast_state.h,root,wazuh,640,file,-rw-r-----,6457,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_long.h,root,wazuh,640,file,-rw-r-----,2589,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_pyhash.h,root,wazuh,640,file,-rw-r-----,206,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_pystate.h,root,wazuh,640,file,-rw-r-----,3938,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_moduleobject.h,root,wazuh,640,file,-rw-r-----,1047,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_abstract.h,root,wazuh,640,file,-rw-r-----,479,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_unionobject.h,root,wazuh,640,file,-rw-r-----,629,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_context.h,root,wazuh,640,file,-rw-r-----,822,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_call.h,root,wazuh,640,file,-rw-r-----,870,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_ucnhash.h,root,wazuh,640,file,-rw-r-----,898,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_initconfig.h,root,wazuh,640,file,-rw-r-----,5625,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_fileutils.h,root,wazuh,640,file,-rw-r-----,1704,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_hamt.h,root,wazuh,640,file,-rw-r-----,3697,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_interp.h,root,wazuh,640,file,-rw-r-----,9289,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_accu.h,root,wazuh,640,file,-rw-r-----,1126,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_format.h,root,wazuh,640,file,-rw-r-----,480,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_traceback.h,root,wazuh,640,file,-rw-r-----,2970,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_warnings.h,root,wazuh,640,file,-rw-r-----,633,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_dtoa.h,root,wazuh,640,file,-rw-r-----,646,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_getopt.h,root,wazuh,640,file,-rw-r-----,490,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_object.h,root,wazuh,640,file,-rw-r-----,5989,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_ceval.h,root,wazuh,640,file,-rw-r-----,3484,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_asdl.h,root,wazuh,640,file,-rw-r-----,2971,0.2
/var/ossec/framework/python/include/python3.10/internal/pycore_parser.h,root,wazuh,640,file,-rw-r-----,626,0.2
/var/ossec/framework/python/include/python3.10/greenlet/greenlet.h,root,wazuh,640,file,-rw-r-----,4755,0.2
/var/ossec/framework/python/bin/cythonize,root,wazuh,750,file,-rwxr-x---,247,0.2
/var/ossec/framework/python/bin/rst2html.py,root,wazuh,750,file,-rwxr-x---,620,0.2
/var/ossec/framework/python/bin/python3,root,wazuh,750,file,-rwxr-x---,6080,0.2
/var/ossec/framework/python/bin/pasteurize,root,wazuh,750,file,-rwxr-x---,243,0.2
